,srv_lat,srv_long,epoch_s,ind,BigBelly,dist
654,42.3842,-71.0133,1406899341,654,508,4326.653649165395
655,42.3389,-71.0771,1398870328,655,490,528.1557497947722
656,42.3482,-71.063,1412180126,656,63,731.904872374277
657,42.348,-71.0631,1412179538,657,63,720.8649751048376
658,42.3435,-71.0887,1400135009,658,182,338.51318327720776
659,42.3515,-71.0606,1392227365,659,124,192.59706507307146
660,42.3386,-71.0716,1399912530,660,181,545.990060628662
661,42.3528,-71.0731,1404205866,661,7,586.0850132842947
662,42.3515,-71.0586,1404736209,662,479,174.64745839813165
663,42.3464,-71.065,1413982052,663,421,575.7642462474944
664,42.3814,-71.0201,1417706924,664,508,2361.988358897967
665,42.3747,-71.0648,1396017256,665,33,3123.380753814617
666,42.3366,-71.0447,1418048003,666,400,3799.4850650678113
667,42.3394,-71.0716,1403880688,667,108,528.0079244510592
668,42.325,-71.059,1406725332,668,454,1723.598402934371
669,42.3454,-71.0818,1403070029,669,147,61.475598853975626
670,42.3584,-71.0672,1398268047,670,467,420.5487604116307
671,42.3401,-71.0816,1401202372,671,503,284.3773366597022
672,42.3372,-71.0698,1419867903,672,505,900.7097002651153
673,42.3324,-71.04,1399566270,673,55,3139.5901352082537
674,42.3241,-71.0596,1404887656,674,454,1360.5055251410788
675,42.3771,-71.0376,1402146667,675,38,1385.4385893715003
676,42.3273,-71.0552,1405701295,676,454,2943.0387803348817
677,42.3647,-71.0566,1396938747,677,31,192.5264116426199
678,42.3375,-71.0702,1407853642,678,505,820.1793959400163
679,42.3364,-71.0494,1410881068,679,400,2796.239861532888
680,42.3469,-71.0659,1413449998,680,421,339.606048604582
681,42.3398,-71.0652,1397115118,681,513,780.3975379676883
682,42.3594,-71.0587,1392226508,682,90,83.60968504801636
683,42.3594,-71.0587,1402664276,683,90,83.60968504801636
684,42.3594,-71.0587,1406116386,684,90,83.60968504801636
685,42.3594,-71.0587,1415344754,685,90,83.60968504801636
686,42.3594,-71.0587,1411736199,686,90,83.60968504801636
687,42.3467,-71.1528,1410434745,687,257,781.0858281891091
688,42.2703,-71.0887,1403529337,688,282,8725.565359725697
689,42.2646,-71.1026,1402300990,689,N,A
690,42.2887,-71.1383,1412687867,690,N,A
691,42.3594,-71.0587,1401459002,691,90,83.60968504801636
692,42.304,-71.1264,1409226409,692,249,7577.973220754649
693,42.3525,-71.1335,1389596995,693,353,258.4549216447862
694,42.3093,-71.1044,1413380018,694,493,2793.1710806382034
695,42.3605,-71.1405,1401345260,695,242,2626.091320097624
696,42.2856,-71.1644,1403091127,696,N,A
697,42.3022,-71.0568,1403705633,697,498,3112.76912365729
698,42.2734,-71.0724,1407506482,698,282,6097.848560893362
699,42.2808,-71.1316,1401104270,699,N,A
700,42.3138,-71.1012,1406298978,700,493,1038.6649665463085
701,42.2869,-71.0902,1400591229,701,436,2811.380038958751
702,42.2677,-71.0951,1412228740,702,436,9534.456453366565
703,42.3104,-71.0793,1401967739,703,489,3583.9979903487056
704,42.2849,-71.0525,1410364535,704,282,5272.166353295697
705,42.3594,-71.0587,1408353516,705,90,83.60968504801636
706,42.337,-71.1498,1398237005,706,465,320.5573902248349
707,42.3102,-71.0828,1410442195,707,489,4414.105127471842
708,42.3558,-71.1487,1406115956,708,259,145.37807875460936
709,42.2901,-71.0484,1411573396,709,282,6037.1141617459525
710,42.3049,-71.0713,1410413311,710,489,1008.3874192246004
711,42.2843,-71.1435,1404307111,711,N,A
712,42.3579,-71.1271,1393482519,712,245,1728.4331386247695
713,42.3034,-71.0791,1413958068,713,498,2967.7391827130655
714,42.2846,-71.0811,1413292520,714,282,3481.1406229534928
715,42.3578,-71.1371,1407741209,715,380,1413.878894381416
716,42.3336,-71.104,1409307641,716,175,63.24764269806717
717,42.3594,-71.0587,1411971188,717,90,83.60968504801636
718,42.2911,-71.0743,1407734891,718,282,1069.6720280377651
719,42.3518,-71.1703,1406729584,719,216,4107.185601221223
720,42.3594,-71.0587,1395318644,720,90,83.60968504801636
721,42.3219,-71.1081,1411996244,721,131,249.1375354164643
722,42.3307,-71.1045,1414506625,722,175,1128.1295087873318
723,42.3557,-71.1482,1409843638,723,259,274.00031429836383
724,42.3278,-71.0996,1406818620,724,388,1629.478608580389
725,42.3484,-71.1512,1410447966,725,426,215.45015318008794
726,42.3528,-71.1334,1389597138,726,353,192.89617780289493
727,42.3527,-71.1372,1410848836,727,379,281.3173483956247
728,42.2887,-71.0514,1404544543,728,282,5245.811838192196
729,42.2857,-71.1289,1389718200,729,436,9771.599353333302
730,42.2892,-71.0485,1408944882,730,282,6018.477395081899
731,42.3016,-71.0732,1408372623,731,498,1465.1310591521158
732,42.3164,-71.1078,1406292917,732,249,1852.690643088659
733,42.2859,-71.0879,1399908099,733,436,3433.8456673517576
734,42.2863,-71.1435,1415899724,734,N,A
735,42.344,-71.1538,1408459792,735,257,1763.18510524686
736,42.3462,-71.1482,1404971190,736,426,1221.389044329458
737,42.3594,-71.0587,1409934075,737,90,83.60968504801636
738,42.3538,-71.1417,1403794305,738,399,1076.0418063676482
739,42.3602,-71.1448,1416401144,739,259,1889.8359187273736
740,42.3166,-71.0559,1389251604,740,172,1921.015050279944
741,42.3188,-71.0569,1405948660,741,454,1316.6725565700915
742,42.2959,-71.0524,1401455123,742,498,5027.370444614714
743,42.3523,-71.1392,1413461882,743,379,541.014801420732
744,42.3543,-71.1326,1418909322,744,128,417.2026815326233
745,42.2965,-71.0866,1398409993,745,436,2391.7439516357936
746,42.3089,-71.0651,1403867794,746,369,1071.6481785954497
747,42.3615,-71.1413,1412578868,747,259,2884.0428011794347
748,42.3189,-71.0573,1390403810,748,454,1204.0610499360316
749,42.36,-71.1309,1414063479,749,245,1668.7489920346718
750,42.287,-71.095,1413290782,750,436,2502.266821305636
751,42.3487,-71.1547,1395125155,751,216,283.24108877749217
752,42.2978,-71.0784,1407742140,752,498,3377.689608890073
753,42.3507,-71.1705,1396956199,753,357,3982.043529294612
754,42.3135,-71.0683,1409674583,754,369,1762.6398732179946
755,42.2778,-71.091,1402383081,755,436,5936.929888382908
756,42.3398,-71.1466,1406291954,756,460,1290.0689769511016
757,42.287,-71.1489,1416463636,757,N,A
758,42.3489,-71.1376,1396972503,758,176,930.4201046228256
759,42.3341,-71.1033,1406189869,759,289,157.91930543143894
760,42.233,-71.1297,1407141167,760,N,A
761,42.3484,-71.1395,1395983577,761,176,1436.634830360009
762,42.3079,-71.0701,1391154656,762,489,1034.9244303030582
763,42.3412,-71.1452,1397490636,763,460,1916.9959205435237
764,42.3057,-71.0708,1404888059,764,489,832.4249393304987
765,42.3466,-71.14,1395645479,765,176,1719.4271302857333
766,42.3466,-71.1033,1399987926,766,116,861.3316578750208
767,42.3537,-71.1401,1391095160,767,399,639.775665326908
768,42.2819,-71.122,1405345779,768,436,8616.359840077443
769,42.3492,-71.1396,1395983642,769,176,1484.578013383809
770,42.306,-71.0609,1402052246,770,489,1862.4699818936565
771,42.306,-71.0611,1403791818,771,489,1808.2210359101798
772,42.2878,-71.0507,1408695944,772,282,5475.332243058312
773,42.3519,-71.1338,1399913814,773,353,445.98475026929066
774,42.3585,-71.1295,1412958068,774,245,1359.5834999302792
775,42.309,-71.0649,1411021474,775,369,1009.2411274402518
776,42.3307,-71.1045,1414738784,776,175,1128.1295087873318
777,42.2871,-71.0548,1410100468,777,282,4432.549640210455
778,42.2908,-71.0475,1412696041,778,282,6287.22438228792
779,42.3523,-71.1335,1399958035,779,353,323.89404593065603
780,42.2948,-71.0623,1395671416,780,282,2839.1484607495445
781,42.3015,-71.0727,1405690550,781,498,1354.8628886285717
782,42.3501,-71.1709,1412002077,782,357,3803.9908772534545
783,42.2849,-71.0525,1410789722,783,282,5272.166353295697
784,42.3219,-71.1081,1410105630,784,131,249.1375354164643
785,42.3566,-71.162,1400651469,785,216,3264.5473080634256
786,42.3249,-71.0994,1403872443,786,300,829.0372514793427
787,42.2959,-71.0529,1402576450,787,498,4911.848262571096
788,42.282,-71.0632,1410500664,788,282,3567.4568677919265
789,42.3524,-71.1539,1399617500,789,414,1187.0791161377254
790,42.3126,-71.1242,1417527081,790,249,4840.845786589099
791,42.3594,-71.0587,1408375959,791,90,83.60968504801636
792,42.3059,-71.062,1411032449,792,489,1561.8435659885567
793,42.3594,-71.0587,1404104544,793,90,83.60968504801636
794,42.3016,-71.0727,1407850897,794,498,1339.7489883384005
795,42.3097,-71.0801,1408715247,795,489,3666.7932905698312
796,42.3556,-71.1312,1409294667,796,245,400.37707355561224
797,42.2956,-71.06,1392741391,797,282,3516.226593271816
798,42.3122,-71.0588,1401265361,798,369,1100.3160794642233
799,42.3267,-71.1007,1399366533,799,300,1457.6567171954512
800,42.2771,-71.0997,1389101820,800,436,6260.146943760036
801,42.3593,-71.1288,1404904465,801,245,1706.0702561047856
802,42.3406,-71.1597,1399873312,802,368,1796.4575635126605
803,42.3594,-71.0587,1408353325,803,90,83.60968504801636
804,42.2879,-71.0473,1397225458,804,282,6385.719031346138
805,42.3113,-71.0553,1412776617,805,172,451.45099852743687
806,42.3171,-71.0619,1415802578,806,306,1031.0325662631114
